"Select","Selecionar"
"Recurrence is enabled but no plans are defined.","A recorrência está habilitada, mas nenhum plano está definido."
"There was an issue with your request.","Houve um problema com sua solicitação."
"The product associated with this subscription is currently not available for purchase.","O produto associado a esta assinatura não está disponível para compra no momento."
"Number of periods must be greater than or equal to 1 for temporary duration. Or empty for indefinite time!","Quantidade de períodos deve ser maior ou igual a 1 para duração temporária. Ou vazio para tempo indefinido!"
"You cannot add a subscription product to your cart because it already contains a non-subscription product. Please complete your current purchase or remove the product before adding a subscription.","Você não pode adicionar um produto de assinatura ao carrinho, pois ele já contém um produto sem assinatura. Conclua sua compra atual ou remova o produto antes de adicionar uma assinatura."
"Please enter a number greater than 0, without comma in this field.","Por favor, insira um número maior que 0. Para números decimais, utilize ponto."
"Payment Profile","Perfil de Pagamento"
"Credit Card","Cartão de Crédito"
"Select the payment profile for this subscription.","Selecione o perfil de pagamento para esta assinatura."
"Cards will only be available for subscriptions registered as a credit card.","Os cartões somente estarão disponíveis para assinaturas cadastradas como cartão de crédito."
"Edit Item","Editar Item"
"Edit Subscription Item","Editar Item da Assinatura"
"Product Item ID","ID do Item do Produto"
"Subscription #%1 > Item #%2","Assinatura #%1 > Item #%2"
"Invalid request method.","Método de solicitação inválido."
"Missing required data: entity_id or price.","Dados obrigatórios ausentes: entity_id ou price."
"Failed to update price on Vindi API.","Falha ao atualizar o preço na API da Vindi."
"Price updated successfully.","Preço atualizado com sucesso."
"An error occurred while saving the subscription item.","Ocorreu um erro ao salvar o item da assinatura."
"Only credit card subscriptions can have a card registered! If you want to change the item, click edit in the grid listing.","Somente assinaturas de cartão de crédito podem ter um cartão cadastrado! Se você deseja alterar o item, clique em editar na listagem da grid."
"This Subscription no longer exists or API request failed.","Esta assinatura não existe mais ou a solicitação da API falhou."
"Subscription with ID %1 does not exist.","Assinatura com ID %1 não existe."
"You saved the subscription.","Você salvou a assinatura."
"Something went wrong while saving the Subscription.","Algo deu errado ao salvar a assinatura."
"API request failed: %1","Solicitação da API falhou: %1"
"Invalid Subscription ID.","ID de Assinatura Inválido."
"Failed to update product item. Check the data and try again.","Falha ao atualizar o item do produto. Verifique os dados e tente novamente."
